kdbRecvTime,x
2023-03-02D20:45:39.750000000,9359
2023-03-02D20:45:40.000000000,7318
2023-03-02D20:45:40.250000000,6759
2023-03-02D20:45:40.500000000,5219
2023-03-02D20:45:40.750000000,15726
2023-03-02D20:45:41.000000000,8993
2023-03-02D20:45:41.250000000,12253
2023-03-02D20:45:41.500000000,7792
2023-03-02D20:45:41.750000000,6553
2023-03-02D20:45:42.000000000,4997
2023-03-02D20:45:42.250000000,6038
2023-03-02D20:45:42.500000000,3786
2023-03-02D20:45:42.750000000,6218
2023-03-02D20:45:43.000000000,6813
2023-03-02D20:45:43.250000000,10912
2023-03-02D20:45:43.500000000,3864
2023-03-02D20:45:43.750000000,8233
2023-03-02D20:45:44.000000000,8180
2023-03-02D20:45:44.250000000,4351
2023-03-02D20:45:44.500000000,14851
2023-03-02D20:45:44.750000000,21717
2023-03-02D20:45:45.000000000,7694
2023-03-02D20:45:45.250000000,9211
2023-03-02D20:45:45.500000000,5879
2023-03-02D20:45:45.750000000,5758
2023-03-02D20:45:46.000000000,12264
2023-03-02D20:45:46.250000000,6587
2023-03-02D20:45:46.500000000,8070
2023-03-02D20:45:46.750000000,10740
2023-03-02D20:45:47.000000000,7676
2023-03-02D20:45:47.250000000,4770
2023-03-02D20:45:47.500000000,16403
2023-03-02D20:45:47.750000000,9625
2023-03-02D20:45:48.000000000,4669
2023-03-02D20:45:48.250000000,6033
2023-03-02D20:45:48.500000000,5908
2023-03-02D20:45:48.750000000,4764
2023-03-02D20:45:49.000000000,9719
2023-03-02D20:45:49.250000000,9407
2023-03-02D20:45:49.500000000,4473
2023-03-02D20:45:49.750000000,9545
2023-03-02D20:45:50.000000000,13260
2023-03-02D20:45:50.250000000,5855
2023-03-02D20:45:50.500000000,7356
2023-03-02D20:45:50.750000000,17413
2023-03-02D20:45:51.000000000,5124
2023-03-02D20:45:51.250000000,5050
2023-03-02D20:45:51.500000000,9266
2023-03-02D20:45:51.750000000,5128
2023-03-02D20:45:52.000000000,4095
2023-03-02D20:45:52.250000000,7178
2023-03-02D20:45:52.500000000,4077
2023-03-02D20:45:52.750000000,18093
2023-03-02D20:45:53.000000000,16533
2023-03-02D20:45:53.250000000,4934
2023-03-02D20:45:53.500000000,10835
2023-03-02D20:45:53.750000000,9605
2023-03-02D20:45:54.000000000,4506
2023-03-02D20:45:54.250000000,3423
2023-03-02D20:45:54.500000000,5878
2023-03-02D20:45:54.750000000,3699
2023-03-02D20:45:55.000000000,3754
2023-03-02D20:45:55.250000000,5437
2023-03-02D20:45:55.500000000,6609
2023-03-02D20:45:55.750000000,5611
2023-03-02D20:45:56.000000000,6108
2023-03-02D20:45:56.250000000,5565
2023-03-02D20:45:56.500000000,3348
2023-03-02D20:45:56.750000000,20266
2023-03-02D20:45:57.000000000,17108
2023-03-02D20:45:57.250000000,13737
2023-03-02D20:45:57.500000000,12003
2023-03-02D20:45:57.750000000,14040
2023-03-02D20:45:58.000000000,5865
2023-03-02D20:45:58.250000000,8217
2023-03-02D20:45:58.500000000,17158
2023-03-02D20:45:58.750000000,6700
2023-03-02D20:45:59.000000000,3989
2023-03-02D20:45:59.250000000,10138
2023-03-02D20:45:59.500000000,5660
2023-03-02D20:45:59.750000000,3641
2023-03-02D20:46:00.000000000,18757
2023-03-02D20:46:00.250000000,23750
2023-03-02D20:46:00.500000000,12620
2023-03-02D20:46:00.750000000,11733
2023-03-02D20:46:01.000000000,5601
2023-03-02D20:46:01.250000000,15868
2023-03-02D20:46:01.500000000,15884
2023-03-02D20:46:01.750000000,12181
2023-03-02D20:46:02.000000000,8305
2023-03-02D20:46:02.250000000,8651
2023-03-02D20:46:02.500000000,5637
2023-03-02D20:46:02.750000000,4643
2023-03-02D20:46:03.000000000,10462
2023-03-02D20:46:03.250000000,27804
2023-03-02D20:46:03.500000000,39874
2023-03-02D20:46:03.750000000,15963
2023-03-02D20:46:04.000000000,9754
2023-03-02D20:46:04.250000000,8317
2023-03-02D20:46:04.500000000,6696
2023-03-02D20:46:04.750000000,8075
2023-03-02D20:46:05.000000000,7862
2023-03-02D20:46:05.250000000,6829
2023-03-02D20:46:05.500000000,15990
2023-03-02D20:46:05.750000000,6231
2023-03-02D20:46:06.000000000,6679
2023-03-02D20:46:06.250000000,7212
2023-03-02D20:46:06.500000000,20423
2023-03-02D20:46:06.750000000,9632
2023-03-02D20:46:07.000000000,13882
2023-03-02D20:46:07.250000000,7491
2023-03-02D20:46:07.500000000,10357
2023-03-02D20:46:07.750000000,8753
2023-03-02D20:46:08.000000000,30705
2023-03-02D20:46:08.250000000,15581
2023-03-02D20:46:08.500000000,10192
2023-03-02D20:46:08.750000000,4597
2023-03-02D20:46:09.000000000,5635
2023-03-02D20:46:09.250000000,8360
2023-03-02D20:46:09.500000000,6790
2023-03-02D20:46:09.750000000,6127
2023-03-02D20:46:10.000000000,12165
2023-03-02D20:46:10.250000000,6082
2023-03-02D20:46:10.500000000,7133
2023-03-02D20:46:10.750000000,7770
2023-03-02D20:46:11.000000000,3849
2023-03-02D20:46:11.250000000,5258
2023-03-02D20:46:11.500000000,11190
2023-03-02D20:46:11.750000000,23704
2023-03-02D20:46:12.000000000,5155
2023-03-02D20:46:12.250000000,6948
2023-03-02D20:46:12.500000000,13248
2023-03-02D20:46:12.750000000,23289
2023-03-02D20:46:13.000000000,6736
2023-03-02D20:46:13.250000000,6918
2023-03-02D20:46:13.500000000,4996
2023-03-02D20:46:13.750000000,13723
2023-03-02D20:46:14.000000000,8176
2023-03-02D20:46:14.250000000,4475
2023-03-02D20:46:14.500000000,11739
2023-03-02D20:46:14.750000000,7224
2023-03-02D20:46:15.000000000,4304
2023-03-02D20:46:15.250000000,11729
2023-03-02D20:46:15.500000000,9125
2023-03-02D20:46:15.750000000,13260
2023-03-02D20:46:16.000000000,14038
2023-03-02D20:46:16.250000000,20981
2023-03-02D20:46:16.500000000,7358
2023-03-02D20:46:16.750000000,5075
2023-03-02D20:46:17.000000000,8094
2023-03-02D20:46:17.250000000,6270
2023-03-02D20:46:17.500000000,5675
2023-03-02D20:46:17.750000000,7074
2023-03-02D20:46:18.000000000,6927
2023-03-02D20:46:18.250000000,3646
2023-03-02D20:46:18.500000000,8876
2023-03-02D20:46:18.750000000,3646
2023-03-02D20:46:19.000000000,3997
2023-03-02D20:46:19.250000000,11973
2023-03-02D20:46:19.500000000,11729
2023-03-02D20:46:19.750000000,4587
2023-03-02D20:46:20.000000000,6779
2023-03-02D20:46:20.250000000,6413
2023-03-02D20:46:20.500000000,5158
2023-03-02D20:46:20.750000000,5463
