Connection#,Topic,Count,Size (Bytes),Publish Time (UTC),Log Time (UTC),Travel Elapsed (ms),E2E Elapsed (ms),MDS Elapsed (ms)
1_4,nbbo,513,25569,15:15:27.1692340,15:15:27.1820570,12.823,71.5091,58.6861
1_3,nbbo,3048,150369,15:15:27.1693690,15:15:27.1840290,14.66,73.4811,58.8211
1_1,nbbo,6091,299965,15:15:27.1690489,15:15:27.1869740,17.9251,76.4261,58.501
1_2,nbbo,5659,275815,15:15:27.1686640,15:15:27.1869570,18.293,76.4091,58.1161
1_0,nbbo,36022,1750893,15:15:27.1698029,15:15:27.1999500,30.1471,89.4021,59.255
1_6,trade,9,788,15:15:27.3955360,15:15:27.3965780,1.042,278.2651,277.2231
1_7,trade,2,394,15:15:27.3957189,15:15:27.3966620,0.9431,278.3491,277.406
1_5,trade,22,1473,15:15:27.3958470,15:15:27.3966720,0.825,278.3591,277.5341
1_4,trade,361,21198,15:15:27.3956860,15:15:27.3980250,2.339,279.7121,277.3731
1_3,trade,1598,93122,15:15:27.3957769,15:15:27.4025460,6.7691,284.2331,277.464
1_1,trade,2417,135796,15:15:27.3955860,15:15:27.4032070,7.621,284.8941,277.2731
1_2,trade,2917,163422,15:15:27.3954108,15:15:27.4045360,9.1252,286.2231,277.0979
1_0,trade,9840,549220,15:15:27.3959739,15:15:27.4092630,13.2891,290.9501,277.661
1_3,nbbo,4390,215085,15:15:28.1580610,15:15:28.1649570,6.896,75.569,68.673
1_4,nbbo,3023,149551,15:15:28.1578489,15:15:28.1649490,7.1001,75.561,68.4609
1_1,nbbo,8151,401811,15:15:28.1575050,15:15:28.1652620,7.757,75.874,68.117
1_2,nbbo,6754,328157,15:15:28.1571569,15:15:28.1653350,8.1781,75.947,67.7689
1_0,nbbo,32587,1584919,15:15:28.1584500,15:15:28.1748410,16.391,85.453,69.062
1_7,trade,1,339,15:15:28.4009809,15:15:28.4019840,1.0031,302.0411,301.038
1_5,trade,18,1258,15:15:28.4011800,15:15:28.4020570,0.877,302.1141,301.2371
1_6,trade,4,492,15:15:28.4006169,15:15:28.4019760,1.3591,302.0331,300.674
1_4,trade,2487,146569,15:15:28.4008989,15:15:28.4025770,1.6781,302.6341,300.956
1_3,trade,3793,218953,15:15:28.4010489,15:15:28.4026990,1.6501,302.7561,301.106
1_1,trade,4792,272031,15:15:28.4006920,15:15:28.4027490,2.057,302.8061,300.7491
1_2,trade,4690,261185,15:15:28.4004539,15:15:28.4028420,2.3881,302.8991,300.511
1_0,trade,12649,709858,15:15:28.4013220,15:15:28.4037860,2.464,303.8431,301.3791
1_5,nbbo,63,3413,15:15:29.4473090,15:15:29.4583950,11.086,325.9711,314.8851
1_4,nbbo,3471,171649,15:15:29.4464949,15:15:29.4591100,12.6151,326.6861,314.071
1_3,nbbo,5285,258655,15:15:29.4469919,15:15:29.4595260,12.5341,327.1021,314.568
1_6,trade,12,941,15:15:29.4581909,15:15:29.4597290,1.5381,318.4841,316.946
1_7,trade,4,521,15:15:29.4585379,15:15:29.4597850,1.2471,318.5401,317.293
1_2,nbbo,9865,479045,15:15:29.4450190,15:15:29.4599940,14.975,327.5701,312.5951
1_4,trade,1287,73343,15:15:29.4584610,15:15:29.4601190,1.658,318.8741,317.2161
1_5,trade,39,2359,15:15:29.4588679,15:15:29.4602650,1.3971,319.0201,317.623
1_1,nbbo,9698,478001,15:15:29.4458759,15:15:29.4657100,19.8341,333.2861,313.452
1_3,trade,2301,129042,15:15:29.4587199,15:15:29.4657570,7.0371,324.5121,317.475
1_2,trade,3501,191703,15:15:29.4580219,15:15:29.4662090,8.1871,324.9641,316.777
1_1,trade,3233,183665,15:15:29.4582709,15:15:29.4662730,8.0021,325.0281,317.026
1_0,nbbo,55820,2710413,15:15:29.4483020,15:15:29.4890840,40.782,356.6601,315.8781
1_0,trade,11925,683470,15:15:29.4590339,15:15:29.4902630,31.2291,349.0181,317.789
1_4,nbbo,940,46503,15:15:30.1497810,15:15:30.1511040,1.323,78.678,77.355
1_5,nbbo,222,11335,15:15:30.1499549,15:15:30.1511070,1.1521,78.681,77.5289
1_3,nbbo,1888,92369,15:15:30.1498819,15:15:30.1511740,1.2921,78.748,77.4559
1_2,nbbo,3713,180719,15:15:30.1494730,15:15:30.1512030,1.73,78.777,77.047
1_1,nbbo,3291,162073,15:15:30.1496600,15:15:30.1512050,1.545,78.779,77.234
1_6,trade,7,654,15:15:30.1529359,15:15:30.1573490,4.4131,81.0951,76.682
1_5,trade,108,6145,15:15:30.1531190,15:15:30.1573600,4.241,81.1061,76.8651
1_7,trade,3,464,15:15:30.1530589,15:15:30.1573700,4.3111,81.1161,76.805
1_4,trade,534,31816,15:15:30.1530310,15:15:30.1574040,4.373,81.1501,76.7771
1_3,trade,626,36256,15:15:30.1530859,15:15:30.1574200,4.3341,81.1661,76.832
1_1,trade,956,54339,15:15:30.1529709,15:15:30.1574410,4.4701,81.1871,76.717
1_2,trade,1240,68985,15:15:30.1528779,15:15:30.1574730,4.5951,81.2191,76.624
