Connection#,Topic,Count,Size (Bytes),Publish Time (UTC),Log Time (UTC),Travel Elapsed (ms),E2E Elapsed (ms),MDS Elapsed (ms)
1_6,trade,1,333,14:46:34.1456300,14:46:34.1544510,8.821,29.8121,20.9911
1_3,trade,9,816,14:46:34.1457349,14:46:34.1544520,8.7171,29.8131,21.096
1_4,trade,2,394,14:46:34.1456209,14:46:34.1544580,8.8371,29.8191,20.982
1_2,trade,91,5492,14:46:34.1456010,14:46:34.1550960,9.495,30.4571,20.9621
1_1,trade,251,14862,14:46:34.1457510,14:46:34.1550860,9.335,30.4471,21.1121
1_1,nbbo,569,28271,14:46:34.1445529,14:46:34.1551150,10.5621,31.438,20.8759
1_0,nbbo,7224,352013,14:46:34.1443320,14:46:34.1595190,15.187,35.842,20.655
1_0,trade,2076,121524,14:46:34.1456529,14:46:34.1604630,14.8101,35.8241,21.014
1_3,nbbo,2,365,14:46:34.3936689,14:46:34.3940960,0.4271,71.961,71.5339
1_4,trade,9,755,14:46:34.3948820,14:46:34.3952750,0.393,72.448,72.055
1_5,trade,7,627,14:46:34.3948299,14:46:34.3952520,0.4221,72.425,72.0029
1_3,trade,126,7611,14:46:34.3949780,14:46:34.3958810,0.903,73.054,72.151
1_2,nbbo,943,46459,14:46:34.3934809,14:46:34.3975700,4.0891,75.435,71.3459
1_2,trade,612,34848,14:46:34.3948509,14:46:34.3997820,4.9311,76.955,72.0239
1_1,nbbo,1140,56705,14:46:34.3937010,14:46:34.3998140,6.113,77.679,71.566
1_1,trade,446,24829,14:46:34.3949959,14:46:34.4005220,5.5261,77.695,72.1689
1_0,nbbo,4133,202305,14:46:34.3935609,14:46:34.4045140,10.9531,82.379,71.4259
1_0,trade,1813,101039,14:46:34.3949049,14:46:34.4056710,10.7661,82.844,72.0779
1_5,trade,7,660,14:46:34.6488710,14:46:34.6503230,1.452,25.4451,23.9931
1_6,trade,3,449,14:46:34.6489520,14:46:34.6503240,1.372,25.4461,24.0741
1_4,trade,22,1457,14:46:34.6489400,14:46:34.6503500,1.41,25.4721,24.0621
1_2,nbbo,2783,135673,14:46:34.6465510,14:46:34.6503940,3.843,26.403,22.56
1_3,nbbo,1831,90355,14:46:34.6471679,14:46:34.6504200,3.2521,26.429,23.1769
1_1,nbbo,2094,103195,14:46:34.6472669,14:46:34.6504850,3.2181,26.494,23.2759
1_2,trade,1035,57527,14:46:34.6488989,14:46:34.6505200,1.6211,25.6421,24.021
1_3,trade,761,44851,14:46:34.6490830,14:46:34.6505310,1.448,25.6531,24.2051
1_1,trade,663,37475,14:46:34.6491279,14:46:34.6505820,1.4541,25.7041,24.25
1_0,nbbo,14944,724715,14:46:34.6467740,14:46:34.6514210,4.647,27.43,22.783
1_0,trade,3159,172220,14:46:34.6489809,14:46:34.6517750,2.7941,26.8971,24.103
1_4,nbbo,226,11473,14:46:34.8936330,14:46:34.8941730,0.54,74.72,74.18
1_2,nbbo,1275,62289,14:46:34.8935869,14:46:34.8942140,0.6271,74.761,74.1339
1_3,nbbo,767,38143,14:46:34.8938428,14:46:34.8942740,0.4312,74.821,74.3898
1_1,nbbo,1292,63833,14:46:34.8938800,14:46:34.8943540,0.474,74.901,74.427
1_7,trade,2,394,14:46:34.8950119,14:46:34.8983750,3.3631,78.3351,74.972
1_4,trade,162,9935,14:46:34.8949389,14:46:34.8983970,3.4581,78.3571,74.899
1_0,nbbo,6255,304493,14:46:34.8936860,14:46:34.8984170,4.731,78.964,74.233
1_3,trade,388,22756,14:46:34.8950279,14:46:34.8984200,3.3921,78.3801,74.988
1_5,trade,5,589,14:46:34.8948889,14:46:34.8983960,3.5071,78.3561,74.849
1_2,trade,723,40480,14:46:34.8949080,14:46:34.8984510,3.543,78.4111,74.8681
1_1,trade,596,33373,14:46:34.8950510,14:46:34.8984930,3.442,78.4531,75.0111
1_0,trade,1605,88287,14:46:34.8949610,14:46:34.8985490,3.588,78.5091,74.9211
1_4,nbbo,519,25741,14:46:35.1437969,14:46:35.1443460,0.5491,19.6791,19.13
1_3,nbbo,793,39199,14:46:35.1440269,14:46:35.1444030,0.3761,19.7361,19.36
1_2,nbbo,1487,72089,14:46:35.1437340,14:46:35.1444400,0.706,19.7731,19.0671
1_1,nbbo,1459,71721,14:46:35.1440679,14:46:35.1445340,0.4661,19.8671,19.401
1_0,nbbo,6907,335907,14:46:35.1438659,14:46:35.1450880,1.2221,20.4211,19.199
1_5,trade,4,498,14:46:35.1457670,14:46:35.1462020,0.435,20.3621,19.9271
1_6,trade,6,623,14:46:35.1458830,14:46:35.1462140,0.331,20.3741,20.0431
1_4,trade,314,18932,14:46:35.1458588,14:46:35.1462580,0.3992,20.4181,20.0189
1_2,trade,875,50079,14:46:35.1457979,14:46:35.1463540,0.5561,20.5141,19.958
1_3,trade,566,33080,14:46:35.1460000,14:46:35.1464210,0.421,20.5811,20.1601
1_1,trade,833,47632,14:46:35.1460330,14:46:35.1464530,0.42,20.6131,20.1931
1_0,trade,2294,131038,14:46:35.1459100,14:46:35.1465880,0.678,20.7481,20.0701
1_4,nbbo,309,15575,14:46:35.3925980,14:46:35.3930660,0.468,66.561,66.093
1_3,nbbo,582,28759,14:46:35.3927700,14:46:35.3931380,0.368,66.633,66.265
1_2,nbbo,923,45101,14:46:35.3925539,14:46:35.3931450,0.5911,66.64,66.0489
1_1,nbbo,1165,57379,14:46:35.3928039,14:46:35.3932060,0.4021,66.701,66.2989
1_5,trade,2,392,14:46:35.3937940,14:46:35.3961880,2.394,69.0751,66.6811
1_6,trade,1,333,14:46:35.3938609,14:46:35.3961940,2.3331,69.0811,66.748
1_4,trade,224,13267,14:46:35.3938470,14:46:35.3962070,2.36,69.0941,66.7341
