Connection#,Topic,Count,Size (Bytes),Publish Time (UTC),Log Time (UTC),Travel Elapsed (ms),E2E Elapsed (ms),MDS Elapsed (ms)
1_3,trade,79,4983,15:40:06.6501190,15:40:06.6607430,10.624,80.3501,69.7261
1_5,trade,7,627,15:40:06.6500458,15:40:06.6607440,10.6982,80.3511,69.6529
1_4,trade,8,718,15:40:06.6498210,15:40:06.6607440,10.923,80.3511,69.4281
1_6,trade,1,333,15:40:06.6500290,15:40:06.6612920,11.263,80.8991,69.6361
1_2,nbbo,589,29041,15:40:06.6479339,15:40:06.6618780,13.9441,84.505,70.5609
1_2,trade,487,27882,15:40:06.6501519,15:40:06.6637780,13.6261,83.3851,69.759
1_1,nbbo,1487,73771,15:40:06.6478428,15:40:06.6639900,16.1472,86.617,70.4698
1_1,trade,562,32036,15:40:06.6500780,15:40:06.6644330,14.355,84.0401,69.6851
1_0,nbbo,10373,505791,15:40:06.6473560,15:40:06.6724790,25.123,95.106,69.983
1_0,trade,3369,193485,15:40:06.6498709,15:40:06.6738730,24.0021,93.4801,69.478
1_3,nbbo,637,31647,15:40:06.8935019,15:40:06.8949230,1.4211,81.3031,79.882
1_5,trade,3,456,15:40:06.8950699,15:40:06.8953950,0.3251,79.3871,79.062
1_6,trade,1,339,15:40:06.8950589,15:40:06.8954150,0.3561,79.4071,79.051
1_4,trade,15,1074,15:40:06.8949479,15:40:06.8954280,0.4801,79.4201,78.94
1_1,nbbo,1185,58579,15:40:06.8934510,15:40:06.8959810,2.53,82.3611,79.8311
1_3,trade,500,28975,15:40:06.8951250,15:40:06.8967310,1.606,80.7231,79.1171
1_2,nbbo,1808,88497,15:40:06.8935419,15:40:06.8968960,3.3541,83.2761,79.922
1_1,trade,508,28339,15:40:06.8950909,15:40:06.8969780,1.8871,80.9701,79.083
1_2,trade,889,49352,15:40:06.8951549,15:40:06.8976140,2.4591,81.6061,79.147
1_0,nbbo,8836,429075,15:40:06.8932449,15:40:06.9068330,13.5881,93.2131,79.625
1_0,trade,2540,137887,15:40:06.8949799,15:40:06.9080460,13.0661,92.0381,78.972
1_4,nbbo,186,9493,15:40:07.1455629,15:40:07.1485590,2.9961,97.6861,94.69
1_7,trade,1,339,15:40:07.1475999,15:40:07.1485600,0.9601,95.7931,94.833
1_5,trade,9,793,15:40:07.1476209,15:40:07.1485770,0.9561,95.8101,94.854
1_4,trade,161,9896,15:40:07.1474899,15:40:07.1486470,1.1571,95.8801,94.723
1_6,trade,2,394,15:40:07.1476099,15:40:07.1486490,1.0391,95.8821,94.843
1_1,nbbo,2152,105947,15:40:07.1460550,15:40:07.1486900,2.635,97.8171,95.1821
1_3,nbbo,1806,89187,15:40:07.1461510,15:40:07.1486920,2.541,97.8191,95.2781
1_2,nbbo,2402,116991,15:40:07.1462520,15:40:07.1487400,2.488,97.8671,95.3791
1_1,trade,709,40597,15:40:07.1476380,15:40:07.1488030,1.165,96.0361,94.8711
1_3,trade,666,39638,15:40:07.1476721,15:40:07.1489040,1.2319,96.1371,94.9052
1_2,trade,1021,57106,15:40:07.1477070,15:40:07.1488700,1.163,96.1031,94.9401
1_0,nbbo,12895,626385,15:40:07.1456718,15:40:07.1496140,3.9422,98.7411,94.7989
1_0,trade,2647,146076,15:40:07.1475229,15:40:07.1498680,2.3451,97.1011,94.756
1_3,nbbo,605,30065,15:40:07.3932839,15:40:07.3936300,0.3461,91.715,91.3689
1_4,nbbo,327,16341,15:40:07.3930749,15:40:07.3935960,0.5211,91.681,91.1599
1_2,nbbo,860,42081,15:40:07.3933289,15:40:07.3936420,0.3131,91.727,91.4139
1_1,nbbo,1267,62463,15:40:07.3932309,15:40:07.3936890,0.4581,91.774,91.3159
1_0,nbbo,3918,190437,15:40:07.3931270,15:40:07.3939450,0.818,92.03,91.212
1_7,trade,1,339,15:40:07.3944909,15:40:07.3982770,3.7861,94.7801,90.994
1_4,trade,177,10362,15:40:07.3944060,15:40:07.3982930,3.887,94.7961,90.9091
1_5,trade,3,449,15:40:07.3945119,15:40:07.3982990,3.7871,94.8021,91.015
1_6,trade,5,574,15:40:07.3945020,15:40:07.3983090,3.807,94.8121,91.0051
1_3,trade,353,20378,15:40:07.3945639,15:40:07.3983700,3.8061,94.8731,91.067
1_2,trade,520,29934,15:40:07.3945891,15:40:07.3983810,3.7919,94.8841,91.0922
